RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
395056,17,"San Diego, CA",Msa,CA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4012.3333333333335,3904.0,3615.6666666666665,3253.0
395121,18,"St. Louis, MO",Msa,MO,2652.6666666666665,2685.3333333333335,3270.3333333333335,3751.0,4226.333333333333,4287.0,4299.666666666667,4175.333333333333,3855.6666666666665,3606.3333333333335,3197.3333333333335,2871.6666666666665,2729.6666666666665,2796.3333333333335,3434.3333333333335,3925.6666666666665,4398.666666666667,4450.333333333333,4365.0,4170.0,3918.6666666666665,3659.3333333333335,3329.3333333333335,2910.3333333333335,2744.3333333333335,2878.3333333333335,3400.6666666666665,3487.6666666666665,3862.6666666666665,4163.0,4658.333333333333,4780.666666666667,4659.333333333333,4570.0,4170.0,3683.0
394358,20,"Baltimore, MD",Msa,MD,"","","","","","","","","",3010.7481082258423,2578.1172143237627,2339.3584428546237,2150.261495851066,2188.940416829066,2694.6314948007025,3203.6651955729067,3637.728642103801,3670.199835023604,3526.944572142121,3325.4321690221677,3167.3738623095974,3052.7696520044105,2842.1844155686304,2516.5174512847248,2339.3584428546237,2460.647898760946,2908.5593540370514,2896.1438979206555,3079.5106344089545,3247.11929198029,3674.975010452987,3650.621615763135,3752.8103699519265,3936.4802934157865,3927.746620139648,3469.0
394530,21,"Denver, CO",Msa,CO,3499.6666666666665,3443.0,4079.6666666666665,4563.333333333333,5107.0,5436.0,5547.0,5416.666666666667,4931.333333333333,4582.333333333333,4098.333333333333,3680.3333333333335,3476.3333333333335,3648.0,4400.0,5116.666666666667,5830.333333333333,6060.666666666667,5920.666666666667,5609.0,5281.333333333333,5017.0,4532.0,3876.3333333333335,3562.3333333333335,3576.0,4168.333333333333,3871.6666666666665,4587.666666666667,5279.666666666667,6415.0,6559.333333333333,6240.666666666667,5958.0,5183.666666666667,4329.333333333333
394998,23,"Portland, OR",Msa,OR,2659.3333333333335,2595.6666666666665,2999.0,3201.0,3624.6666666666665,3840.6666666666665,4049.0,3936.0,3662.0,3418.0,3007.6666666666665,2605.6666666666665,2313.6666666666665,2327.3333333333335,2768.3333333333335,3218.3333333333335,3688.0,3866.6666666666665,3918.0,3814.3333333333335,3642.0,3389.6666666666665,3054.0,2589.6666666666665,2407.6666666666665,2476.3333333333335,2915.6666666666665,2871.0,3193.3333333333335,3555.6666666666665,4211.333333333333,4464.666666666667,4367.666666666667,4239.0,3788.0,3283.3333333333335
394458,24,"Charlotte, NC",Msa,NC,2226.3333333333335,2328.0,2779.6666666666665,3243.3333333333335,3687.3333333333335,3921.6666666666665,4014.3333333333335,3911.6666666666665,3457.3333333333335,3127.6666666666665,2735.0,2488.0,2406.3333333333335,2568.3333333333335,3204.3333333333335,3673.6666666666665,4096.666666666667,4211.666666666667,4045.0,3730.3333333333335,3351.6666666666665,3135.0,2799.6666666666665,2397.3333333333335,2271.0,2376.0,2749.3333333333335,2636.6666666666665,2931.3333333333335,3112.3333333333335,3417.3333333333335,3313.0,3168.3333333333335,3064.0,2783.6666666666665,2363.6666666666665
395045,25,"Sacramento, CA",Msa,CA,2295.3333333333335,2246.6666666666665,2582.3333333333335,2857.3333333333335,3265.0,3369.6666666666665,3465.6666666666665,3374.6666666666665,3116.6666666666665,2965.3333333333335,2642.3333333333335,2375.3333333333335,2161.3333333333335,2189.3333333333335,2580.6666666666665,2969.6666666666665,3372.6666666666665,3523.3333333333335,3554.0,3438.6666666666665,3275.6666666666665,3066.0,2750.6666666666665,2390.6666666666665,2205.3333333333335,2277.3333333333335,2499.3333333333335,2400.3333333333335,2574.0,3036.0,3690.3333333333335,3942.6666666666665,3848.0,3702.6666666666665,3357.3333333333335,2907.6666666666665
395055,26,"San Antonio, TX",Msa,TX,"","","","","","","","","","","","","","","","",2150.0,2234.6666666666665,2171.0,2046.3333333333333,2008.3333333333333,1960.6666666666667,1867.3333333333333,1721.3333333333333,1669.3333333333333,1756.6666666666667,2009.6666666666667,2033.0,2240.3333333333335,2475.6666666666665,2883.6666666666665,2961.6666666666665,2850.6666666666665,2737.3333333333335,2593.0,2433.6666666666665
394466,28,"Cincinnati, OH",Msa,OH,1647.0,1817.3333333333333,2235.6666666666665,2478.6666666666665,2759.3333333333335,2822.6666666666665,2981.0,2884.3333333333335,2688.3333333333335,2471.0,2187.0,1916.0,1805.6666666666667,1945.3333333333333,2419.3333333333335,2803.6666666666665,3091.3333333333335,3206.6666666666665,3205.0,3102.0,2956.0,2762.0,2511.0,2125.3333333333335,2042.3333333333333,2104.0,2442.0,2457.6666666666665,2707.0,2920.0,3206.0,3257.3333333333335,3177.3333333333335,3122.3333333333335,2869.0,2504.0
394475,29,"Cleveland, OH",Msa,OH,1351.6666666666667,1303.3333333333333,1514.0,1750.0,2055.3333333333335,2134.3333333333335,2242.6666666666665,2158.6666666666665,2039.6666666666667,1895.3333333333333,1718.6666666666667,1549.0,1349.3333333333333,1311.0,1527.0,1863.0,2135.6666666666665,2257.3333333333335,2252.0,2212.0,2101.3333333333335,1996.6666666666667,1819.6666666666667,1738.0,1667.6666666666667,1752.6666666666667,1940.0,1973.0,2158.3333333333335,2316.0,2613.3333333333335,2772.6666666666665,2991.0,3008.6666666666665,2804.0,2300.6666666666665
